s,41,80
5,6,87
936,277,92
17,9,459
420,247,79
19,60,429
529,844,98
5,22,212
456,288,115
18,22,305
897,993,94
16,69,393
978,343,71
9,75,155
541,549,58
10,62,336
806,311,48
7,16,142
778,81,116
15,62,302
325,271,64
32,47,141
36,58,87
292,161,116
34,12,310
453,183,80
5,14,385
99,103,112
38,17,136
637,822,89
39,46,399
100,654,66
218,207,53
33,35,224
658,255,104
26,5,481
369,271,46
3,29,219
69,728,87
29,69,395
967,873,125
17,35,320
20,4,87
114,400,98
795,458,76
16,63,223
57,407,62
9,37,470
642,116,99
10,29,266
709,508,55
16,8,450
444,516,36
11,46,377
329,335,105
0,77,228
544,230,120
405,892,114
387,763,56
26,62,217
12,67,87
892,526,56
1,19,387
903,204,50
29,5,401
466,234,97
563,890,66
36,56,427
503,653,41
39,36,439
949,411,71
10,11,260
37,20,189
237,739,38
2,13,484
4,66,181
8,16,87
686,951,108
34,18,482
500,207,50
40,10,263
474,893,68
14,55,424
780,136,108
13,67,491
905,82,64
23,24,439
551,327,88
32,52,283
36,22,200
24,73,153
2,49,461
636,383,43
2,59,331
3,16,87
5,62,203
142,423,115
40,53,367
585,902,68
37,66,145
449,917,124
6,68,439
834,584,68
37,53,278
168,221,117
40,9,223
370,436,105
58,281,85
16,6,211
589,93,108
22,76,296
745,725,68
1,50,370
8,22,32
204,864,44
34,28,297
9,58,214
60,121,92
32,47,150
406,278,116
31,15,326
18,69,242
556,299,120
22,29,287
290,125,82
31,21,271
4,41,134
157,203,42
20,74,172
535,454,56
38,38,300
30,60,32
477,890,108
19,9,465
15,11,129
108,636,120
10,14,149
320,749,37
316,148,51
29,73,467
771,354,35
40,17,487
33,5,212
104,106,65
4,73,417
599,177,35
19,71,225
17,78,449
16,34,32
974,846,54
35,59,405
183,564,121
18,7,228
973,484,119
34,75,160
708,412,121
37,61,318
10,18,213
723,624,98
33,36,138
662,194,37
938,539,89
3,64,431
578,402,104
10,71,330
27,58,367
22,49,87
295,421,48
33,75,190
319,395,55
8,22,457
895,971,62
11,46,344
674,985,101
38,42,496
373,766,101
5,26,328
304,195,108
18,45,271
16,36,416
251,949,122
16,21,146
725,512,66
2,50,292
956,466,67
4,0,244
3,43,59
426,581,113
599,986,57
22,52,333
145,706,33
6,74,362
111,762,39
28,70,450
923,744,41
2,42,371
404,858,56
22,40,237
284,284,109
10,43,127
656,644,89
32,5,480
459,827,103
0,13,270
127,200,86
32,44,327
23,58,32
916,656,73
14,29,226
345,81,47
37,0,290
195,226,55
21,66,180
112,159,120
1,1,345
25,14,437
415,725,60
4,43,136
248,262,44
25,25,351
578,563,34
29,61,141
476,379,94
13,57,201
630,742,56
37,22,203
8,43,59
1,5,338
704,419,117
26,36,395
960,821,117
3,16,273
969,199,80
16,70,380
51,739,112
30,8,300
818,650,112
36,69,461
89,181,51
39,48,445
137,89,69
31,51,463
927,611,121
25,1,200
116,724,105
15,66,340
31,48,32
638,387,75
3,54,271
25,43,308
814,325,34
1,54,350
115,896,72
3,12,321
343,312,114
21,57,454
212,815,82
6,23,421
340,313,49
38,0,222
491,601,37
7,71,416
432,343,38
35,26,139
273,260,71
10,35,407
28,52,32
691,534,61
2,40,499
767,734,102
9,39,438
594,414,99
954,576,56
7,68,254
919,376,60
18,35,210
254,381,78
24,51,229
782,365,117
1,3,149
10,44,498
970,509,56
9,38,428
134,340,105
33,36,263
35,66,87
313,402,59
21,68,397
159,124,71
35,57,150
303,202,35
4,77,412
247,700,108
32,33,411
710,496,67
12,0,281
802,185,56
37,40,225
709,699,66
32,77,337
346,802,37
711,743,43
10,69,314
0,59,278
5,34,32
490,938,41
424,472,52
39,14,158
865,571,33
20,6,329
722,452,57
10,53,241
484,475,69
31,74,277
744,650,86
24,32,248
920,722,36
15,75,482
91,360,95
25,37,145
481,967,42
13,77,318
382,998,123
7,43,356
19,8,87
886,677,69
22,19,130
427,678,123
22,76,377
985,750,109
18,0,491
478,295,46
25,77,411
886,349,104
0,29,319
496,361,89
40,1,422
726,762,108
15,51,339
173,536,88
894,968,126
10,10,458
663,100,97
2,23,460
10,19,32
209,600,80
27,11,227
136,167,110
835,753,124
23,36,492
100,326,44
3,3,434
460,732,109
12,36,151
638,178,66
27,10,219
511,129,78
36,15,226
451,299,53
29,24,363
610,379,107
27,59,343
727,277,116
9,11,474
33,50,44
187,609,51
20,39,336
612,175,44
38,11,134
820,809,84
4,3,188
639,845,111
34,40,449
873,625,108
39,55,153
587,570,66
2,32,336
789,533,83
34,36,311
181,976,61
8,52,348
219,486,93
39,21,289
505,107,125
31,3,236
28,0,87
938,187,91
910,457,40
23,74,318
406,554,87
23,66,257
113,873,61
8,75,141
608,761,90
14,60,329
741,452,81
36,56,500
481,924,41
26,45,317
789,745,66
27,63,453
648,371,49
496,318,126
38,4,367
37,11,87
518,185,123
21,42,500
2,60,214
216,965,121
9,62,265
92,500,105
973,302,34
12,59,440
575,519,85
36,35,179
714,796,108
33,48,264
378,922,60
1,24,149
792,377,84
22,63,108
